profissao_atual,anos_experiencia,nivel_atual,objetivo_principal,area_interesse,tempo_disponivel_estudo,num_habilidades,habilidades_atuais,motivacao,score_adequacao
Suporte Técnico,8,Sênior,Realocar Carreira,Segurança da Informação,15,4,"Firewall,OWASP,Pentest,Criptografia",6,100.0
Designer,18,Sênior,Atualizar Carreira,UX/UI Design,10,5,"Adobe XD,Prototipagem,Figma,Sketch,Design Thinking",6,100.0
Analista de Dados,9,Sênior,Realocar Carreira,Data Science,10,4,"NumPy,Python,R,SQL",8,100.0
DBA,18,Sênior,Atualizar Carreira,DevOps,20,4,"AWS,Linux,Kubernetes,Git",10,100.0
Gerente de Projetos,14,Sênior,Realocar Carreira,Inteligência Artificial,5,5,"Computer Vision,Python,TensorFlow,PyTorch,NLP",9,100.0
Analista de Dados,12,Sênior,Atualizar Carreira,Inteligência Artificial,10,3,"NLP,Python,Computer Vision",10,100.0
QA Tester,10,Sênior,Realocar Carreira,Mobile,20,3,"iOS,Kotlin,React Native",10,100.0
QA Tester,7,Sênior,Atualizar Carreira,Desenvolvimento Web,25,2,"Python,React",7,100.0
Analista de Dados,7,Sênior,Atualizar Carreira,Cloud Computing,10,4,"Azure,Containers,AWS,GCP",7,100.0
Designer,9,Sênior,Atualizar Carreira,Mobile,20,2,"Kotlin,Flutter",7,100.0
Desenvolvedor,19,Sênior,Realocar Carreira,Mobile,10,3,"React Native,Android,Kotlin",7,100.0
Analista de Sistemas,14,Sênior,Atualizar Carreira,Cloud Computing,10,4,"Serverless,GCP,Azure,AWS",9,100.0
Administrador de Redes,14,Sênior,Realocar Carreira,Data Science,15,2,"Pandas,SQL",7,100.0
Desenvolvedor,1,Júnior,Realocar Carreira,Desenvolvimento Web,15,2,"JavaScript,Java",9,98.7
Desenvolvedor,16,Sênior,Realocar Carreira,Cloud Computing,20,2,"GCP,AWS",5,100.0
Designer,4,Pleno,Atualizar Carreira,Mobile,5,5,"Swift,Kotlin,iOS,Flutter,Android",5,100.0
Analista de Dados,1,Júnior,Atualizar Carreira,Cloud Computing,5,3,"Azure,Serverless,Containers",8,100.0
Analista de Sistemas,3,Pleno,Realocar Carreira,DevOps,20,5,"Terraform,CI/CD,Git,AWS,Linux",6,100.0
Gerente de Projetos,17,Sênior,Realocar Carreira,UX/UI Design,20,2,"Design Thinking,Prototipagem",10,100.0
Analista de Sistemas,18,Sênior,Realocar Carreira,DevOps,20,3,"CI/CD,Linux,AWS",8,100.0
Administrador de Redes,13,Sênior,Realocar Carreira,Mobile,30,5,"React Native,Flutter,iOS,Android,Kotlin",5,100.0
Desenvolvedor,16,Sênior,Realocar Carreira,Cloud Computing,10,3,"Containers,Azure,Serverless",10,100.0
Administrador de Redes,18,Sênior,Realocar Carreira,Desenvolvimento Web,30,5,"JavaScript,Node.js,React,Python,HTML",5,100.0
DBA,14,Sênior,Realocar Carreira,Inteligência Artificial,10,2,"Python,Computer Vision",9,100.0
Gerente de Projetos,15,Sênior,Realocar Carreira,Inteligência Artificial,10,5,"Computer Vision,Python,PyTorch,NLP,TensorFlow",5,100.0
Designer,6,Pleno,Realocar Carreira,Cloud Computing,25,2,"AWS,GCP",7,100.0
Designer,16,Sênior,Atualizar Carreira,Desenvolvimento Web,20,5,"JavaScript,Java,React,CSS,Node.js",6,100.0
Desenvolvedor,5,Pleno,Realocar Carreira,Data Science,10,4,"NumPy,Estatística,Pandas,Python",9,100.0
Analista de Dados,0,Júnior,Atualizar Carreira,Inteligência Artificial,15,4,"NLP,TensorFlow,Python,Computer Vision",5,100.0
Administrador de Redes,8,Sênior,Atualizar Carreira,Segurança da Informação,20,4,"SIEM,Pentest,Firewall,Criptografia",5,100.0
Analista de Dados,5,Pleno,Atualizar Carreira,Inteligência Artificial,15,5,"NLP,PyTorch,Python,TensorFlow,Computer Vision",6,100.0
QA Tester,18,Sênior,Atualizar Carreira,DevOps,15,3,"Git,AWS,Kubernetes",6,100.0
Analista de Dados,17,Sênior,Realocar Carreira,Desenvolvimento Web,20,3,"React,Node.js,Python",9,100.0
Designer,15,Sênior,Realocar Carreira,UX/UI Design,15,3,"Adobe XD,Sketch,Design Thinking",6,100.0
Suporte Técnico,8,Sênior,Atualizar Carreira,DevOps,15,3,"Terraform,Linux,Git",9,100.0
Desenvolvedor,9,Sênior,Realocar Carreira,Inteligência Artificial,15,2,"PyTorch,Computer Vision",5,100.0
Administrador de Redes,14,Sênior,Realocar Carreira,DevOps,15,2,"Terraform,Docker",6,100.0
Desenvolvedor,13,Sênior,Realocar Carreira,UX/UI Design,10,2,"Design Thinking,Prototipagem",5,90.07
Desenvolvedor,2,Júnior,Atualizar Carreira,DevOps,30,5,"CI/CD,Kubernetes,Docker,Git,Linux",10,100.0
Desenvolvedor,0,Júnior,Realocar Carreira,Segurança da Informação,20,3,"Pentest,Firewall,OWASP",8,100.0
Analista de Dados,10,Sênior,Realocar Carreira,Desenvolvimento Web,15,4,"Java,Node.js,CSS,HTML",6,100.0
Desenvolvedor,13,Sênior,Atualizar Carreira,Desenvolvimento Web,20,5,"JavaScript,Node.js,HTML,Java,React",8,100.0
Analista de Sistemas,16,Sênior,Realocar Carreira,DevOps,25,4,"Docker,AWS,CI/CD,Terraform",8,100.0
Gerente de Projetos,13,Sênior,Realocar Carreira,Mobile,10,5,"Android,React Native,iOS,Flutter,Swift",7,100.0
Gerente de Projetos,18,Sênior,Realocar Carreira,UX/UI Design,5,5,"Adobe XD,Design Thinking,Prototipagem,Figma,Sketch",7,100.0
Analista de Dados,4,Pleno,Atualizar Carreira,Data Science,20,2,"Estatística,SQL",7,100.0
Analista de Dados,2,Júnior,Atualizar Carreira,Inteligência Artificial,20,3,"Python,Computer Vision,TensorFlow",5,100.0
Desenvolvedor,9,Sênior,Realocar Carreira,Segurança da Informação,20,2,"SIEM,Pentest",6,100.0
Analista de Sistemas,3,Pleno,Atualizar Carreira,Data Science,10,3,"NumPy,Python,Machine Learning",5,99.42
Administrador de Redes,11,Sênior,Realocar Carreira,Data Science,15,2,"SQL,Pandas",8,100.0
Designer,17,Sênior,Atualizar Carreira,Desenvolvimento Web,5,5,"Node.js,JavaScript,React,CSS,Python",10,100.0
Gerente de Projetos,11,Sênior,Realocar Carreira,Cloud Computing,5,3,"Containers,Serverless,Azure",7,100.0
DBA,6,Pleno,Realocar Carreira,Data Science,5,2,"Python,Pandas",5,91.77
Administrador de Redes,19,Sênior,Realocar Carreira,Data Science,15,5,"Machine Learning,SQL,R,NumPy,Python",5,100.0
Analista de Sistemas,18,Sênior,Realocar Carreira,Data Science,15,5,"SQL,NumPy,R,Python,Machine Learning",8,100.0
Analista de Sistemas,16,Sênior,Atualizar Carreira,Desenvolvimento Web,20,5,"Python,Java,Node.js,JavaScript,CSS",10,100.0
Desenvolvedor,15,Sênior,Realocar Carreira,Data Science,5,5,"Pandas,SQL,Machine Learning,NumPy,Estatística",9,100.0
QA Tester,18,Sênior,Atualizar Carreira,Segurança da Informação,10,4,"Pentest,SIEM,Criptografia,OWASP",8,100.0
Analista de Sistemas,11,Sênior,Realocar Carreira,Cloud Computing,25,5,"AWS,Azure,GCP,Containers,Serverless",10,100.0
Designer,8,Sênior,Realocar Carreira,DevOps,25,2,"Git,Linux",8,100.0
Suporte Técnico,15,Sênior,Atualizar Carreira,DevOps,10,5,"Git,Linux,Docker,CI/CD,Terraform",9,100.0
Desenvolvedor,12,Sênior,Atualizar Carreira,Desenvolvimento Web,10,5,"CSS,HTML,JavaScript,Java,React",6,100.0
Desenvolvedor,4,Pleno,Realocar Carreira,Mobile,15,5,"Flutter,React Native,Swift,Android,Kotlin",6,100.0
Analista de Sistemas,13,Sênior,Atualizar Carreira,Data Science,15,3,"Machine Learning,NumPy,Python",5,100.0
Designer,5,Pleno,Realocar Carreira,Segurança da Informação,10,5,"Pentest,SIEM,OWASP,Criptografia,Firewall",8,100.0
Analista de Sistemas,11,Sênior,Atualizar Carreira,Cloud Computing,20,2,"AWS,Containers",5,100.0
Administrador de Redes,3,Pleno,Realocar Carreira,Data Science,20,3,"SQL,Python,Pandas",6,100.0
DBA,16,Sênior,Realocar Carreira,Data Science,20,3,"R,Estatística,SQL",8,100.0
Analista de Dados,7,Sênior,Atualizar Carreira,Cloud Computing,15,5,"Serverless,AWS,Azure,Containers,GCP",5,100.0
Administrador de Redes,15,Sênior,Atualizar Carreira,Segurança da Informação,15,5,"Pentest,SIEM,Criptografia,OWASP,Firewall",5,100.0
DBA,20,Sênior,Atualizar Carreira,DevOps,10,3,"Kubernetes,CI/CD,Docker",5,100.0
Designer,17,Sênior,Atualizar Carreira,Desenvolvimento Web,20,3,"CSS,HTML,JavaScript",8,100.0
Analista de Sistemas,3,Pleno,Atualizar Carreira,Cloud Computing,30,3,"Azure,Serverless,GCP",6,100.0
Gerente de Projetos,9,Sênior,Realocar Carreira,Inteligência Artificial,5,5,"TensorFlow,PyTorch,Computer Vision,NLP,Python",10,100.0
Gerente de Projetos,7,Sênior,Realocar Carreira,DevOps,20,2,"Linux,CI/CD",5,100.0
Gerente de Projetos,3,Pleno,Atualizar Carreira,Data Science,15,2,"Python,SQL",5,99.98
Desenvolvedor,18,Sênior,Atualizar Carreira,DevOps,20,4,"Linux,Kubernetes,AWS,Terraform",9,100.0
Suporte Técnico,19,Sênior,Realocar Carreira,Data Science,15,4,"R,Estatística,Machine Learning,Python",5,100.0
Analista de Sistemas,14,Sênior,Realocar Carreira,Mobile,20,2,"Kotlin,React Native",5,100.0
Suporte Técnico,6,Pleno,Realocar Carreira,Mobile,30,2,"Flutter,Swift",8,100.0
Administrador de Redes,17,Sênior,Atualizar Carreira,Cloud Computing,15,5,"Azure,AWS,Serverless,Containers,GCP",5,100.0
Administrador de Redes,14,Sênior,Atualizar Carreira,DevOps,15,4,"Kubernetes,Git,Docker,Terraform",5,100.0
Gerente de Projetos,6,Pleno,Realocar Carreira,Segurança da Informação,5,5,"SIEM,Pentest,Firewall,Criptografia,OWASP",9,100.0
DBA,17,Sênior,Realocar Carreira,Segurança da Informação,20,5,"Criptografia,Pentest,SIEM,Firewall,OWASP",5,100.0
QA Tester,18,Sênior,Realocar Carreira,Segurança da Informação,15,5,"Criptografia,OWASP,Pentest,SIEM,Firewall",8,100.0
Gerente de Projetos,1,Júnior,Realocar Carreira,Inteligência Artificial,20,3,"TensorFlow,Computer Vision,Python",5,95.66
Desenvolvedor,1,Júnior,Realocar Carreira,Segurança da Informação,5,4,"OWASP,Pentest,SIEM,Criptografia",6,95.57
Analista de Sistemas,5,Pleno,Realocar Carreira,Data Science,10,3,"NumPy,SQL,Estatística",7,100.0
QA Tester,18,Sênior,Realocar Carreira,UX/UI Design,15,4,"Figma,Sketch,Adobe XD,Design Thinking",6,100.0
DBA,6,Pleno,Realocar Carreira,Segurança da Informação,20,5,"SIEM,Firewall,Criptografia,Pentest,OWASP",7,100.0
Administrador de Redes,3,Pleno,Realocar Carreira,Inteligência Artificial,15,4,"PyTorch,TensorFlow,Computer Vision,Python",10,100.0
Gerente de Projetos,13,Sênior,Atualizar Carreira,DevOps,5,2,"Terraform,CI/CD",8,100.0
Analista de Dados,14,Sênior,Atualizar Carreira,Inteligência Artificial,30,2,"TensorFlow,Python",5,100.0
DBA,20,Sênior,Realocar Carreira,Desenvolvimento Web,20,5,"Java,CSS,HTML,React,Python",7,100.0
Suporte Técnico,9,Sênior,Realocar Carreira,Inteligência Artificial,5,2,"PyTorch,Python",8,100.0
Analista de Sistemas,1,Júnior,Realocar Carreira,Mobile,10,2,"Kotlin,iOS",7,80.58
Administrador de Redes,19,Sênior,Realocar Carreira,Desenvolvimento Web,20,2,"JavaScript,Node.js",9,100.0
Analista de Sistemas,6,Pleno,Atualizar Carreira,Desenvolvimento Web,25,4,"React,HTML,Node.js,JavaScript",5,100.0
Analista de Sistemas,1,Júnior,Realocar Carreira,Desenvolvimento Web,10,2,"Python,CSS",9,87.58
Analista de Dados,12,Sênior,Realocar Carreira,UX/UI Design,10,2,"Prototipagem,Sketch",6,100.0
Analista de Dados,18,Sênior,Atualizar Carreira,Cloud Computing,20,2,"Containers,Azure",6,100.0
Desenvolvedor,10,Sênior,Atualizar Carreira,DevOps,15,3,"Terraform,Docker,Kubernetes",5,100.0
Desenvolvedor,6,Pleno,Atualizar Carreira,Mobile,15,4,"React Native,iOS,Kotlin,Android",9,100.0
Designer,9,Sênior,Atualizar Carreira,Desenvolvimento Web,15,2,"JavaScript,HTML",5,100.0
Designer,2,Júnior,Realocar Carreira,UX/UI Design,20,3,"Sketch,Prototipagem,Figma",7,97.99
Desenvolvedor,15,Sênior,Realocar Carreira,DevOps,25,4,"Terraform,Docker,Linux,Kubernetes",10,100.0
Administrador de Redes,5,Pleno,Atualizar Carreira,DevOps,15,5,"Linux,Docker,Git,Kubernetes,CI/CD",8,100.0
Analista de Sistemas,7,Sênior,Realocar Carreira,Inteligência Artificial,15,3,"PyTorch,NLP,Python",8,100.0
Analista de Dados,6,Pleno,Realocar Carreira,UX/UI Design,5,5,"Adobe XD,Sketch,Design Thinking,Figma,Prototipagem",5,96.02
QA Tester,12,Sênior,Realocar Carreira,Mobile,15,4,"React Native,Kotlin,Swift,Flutter",8,100.0
Administrador de Redes,1,Júnior,Atualizar Carreira,Segurança da Informação,30,3,"Criptografia,SIEM,Pentest",9,100.0
Gerente de Projetos,2,Júnior,Realocar Carreira,Segurança da Informação,20,3,"Pentest,Firewall,Criptografia",8,100.0
Suporte Técnico,15,Sênior,Atualizar Carreira,DevOps,15,2,"Terraform,Kubernetes",7,100.0
Desenvolvedor,11,Sênior,Realocar Carreira,Data Science,20,5,"NumPy,Estatística,R,Pandas,Python",5,100.0
Suporte Técnico,18,Sênior,Realocar Carreira,DevOps,10,4,"CI/CD,AWS,Linux,Terraform",7,100.0
QA Tester,6,Pleno,Realocar Carreira,Desenvolvimento Web,25,2,"Node.js,Python",8,100.0
Desenvolvedor,12,Sênior,Realocar Carreira,DevOps,15,3,"CI/CD,AWS,Kubernetes",5,100.0
QA Tester,4,Pleno,Realocar Carreira,DevOps,20,2,"CI/CD,Kubernetes",6,100.0
Designer,1,Júnior,Realocar Carreira,Mobile,20,4,"Swift,iOS,Kotlin,React Native",8,99.61
Administrador de Redes,18,Sênior,Realocar Carreira,Desenvolvimento Web,10,5,"React,CSS,Node.js,HTML,JavaScript",6,100.0
Administrador de Redes,18,Sênior,Atualizar Carreira,DevOps,20,5,"Kubernetes,Terraform,Docker,CI/CD,Git",6,100.0
Desenvolvedor,9,Sênior,Atualizar Carreira,Mobile,20,2,"Swift,Android",5,100.0
Suporte Técnico,9,Sênior,Atualizar Carreira,DevOps,5,4,"Docker,Linux,Kubernetes,AWS",6,100.0
Analista de Sistemas,5,Pleno,Atualizar Carreira,Data Science,5,2,"NumPy,Python",8,100.0
Designer,1,Júnior,Realocar Carreira,Cloud Computing,15,3,"Containers,Serverless,GCP",6,92.41
QA Tester,11,Sênior,Realocar Carreira,UX/UI Design,5,3,"Figma,Design Thinking,Sketch",8,97.8
QA Tester,11,Sênior,Atualizar Carreira,DevOps,5,3,"Git,AWS,Kubernetes",6,100.0
Designer,12,Sênior,Realocar Carreira,Mobile,20,5,"iOS,Kotlin,Android,Flutter,React Native",10,100.0
Administrador de Redes,2,Júnior,Atualizar Carreira,DevOps,15,5,"CI/CD,AWS,Terraform,Linux,Git",6,100.0
Analista de Dados,10,Sênior,Atualizar Carreira,Inteligência Artificial,10,5,"PyTorch,Python,Computer Vision,TensorFlow,NLP",7,100.0
Analista de Sistemas,7,Sênior,Realocar Carreira,Desenvolvimento Web,10,5,"Java,CSS,React,Python,Node.js",7,100.0
QA Tester,7,Sênior,Realocar Carreira,Data Science,20,5,"R,Machine Learning,Estatística,Pandas,SQL",6,100.0
Designer,9,Sênior,Atualizar Carreira,Desenvolvimento Web,15,4,"CSS,Java,Python,JavaScript",7,100.0
Analista de Sistemas,17,Sênior,Realocar Carreira,Data Science,15,4,"Machine Learning,SQL,Pandas,Estatística",5,100.0
Analista de Dados,16,Sênior,Realocar Carreira,Data Science,25,3,"Python,Estatística,Machine Learning",10,100.0
Analista de Dados,18,Sênior,Realocar Carreira,Inteligência Artificial,5,2,"PyTorch,NLP",7,98.65
Analista de Sistemas,12,Sênior,Atualizar Carreira,Data Science,10,4,"Python,Machine Learning,Estatística,Pandas",5,100.0
QA Tester,18,Sênior,Realocar Carreira,Desenvolvimento Web,10,2,"React,Python",7,100.0
DBA,4,Pleno,Realocar Carreira,Mobile,30,3,"Kotlin,React Native,Flutter",8,100.0
Administrador de Redes,9,Sênior,Realocar Carreira,Data Science,10,5,"Machine Learning,Python,NumPy,Estatística,Pandas",6,100.0
Administrador de Redes,17,Sênior,Atualizar Carreira,DevOps,20,2,"Docker,Linux",8,100.0
Desenvolvedor,3,Pleno,Atualizar Carreira,Mobile,25,5,"React Native,Swift,Android,iOS,Flutter",10,100.0
DBA,1,Júnior,Atualizar Carreira,DevOps,20,2,"Kubernetes,Docker",5,95.94
DBA,1,Júnior,Realocar Carreira,DevOps,5,2,"Terraform,CI/CD",9,92.16
Analista de Sistemas,19,Sênior,Realocar Carreira,Desenvolvimento Web,20,3,"CSS,Node.js,React",9,100.0
QA Tester,12,Sênior,Atualizar Carreira,DevOps,5,4,"CI/CD,Docker,Git,Kubernetes",9,100.0
DBA,4,Pleno,Atualizar Carreira,Data Science,10,3,"Estatística,SQL,Python",6,100.0
Administrador de Redes,6,Pleno,Realocar Carreira,Inteligência Artificial,20,5,"PyTorch,Computer Vision,TensorFlow,Python,NLP",6,100.0
Suporte Técnico,17,Sênior,Realocar Carreira,UX/UI Design,10,2,"Sketch,Figma",6,100.0
Suporte Técnico,6,Pleno,Realocar Carreira,Mobile,10,4,"Android,Kotlin,Swift,React Native",10,100.0
Desenvolvedor,20,Sênior,Realocar Carreira,DevOps,30,3,"Terraform,Kubernetes,Git",9,100.0
Analista de Dados,17,Sênior,Realocar Carreira,Desenvolvimento Web,20,3,"React,JavaScript,Python",7,100.0
Suporte Técnico,1,Júnior,Realocar Carreira,Data Science,10,2,"Pandas,Estatística",5,88.05
Analista de Dados,15,Sênior,Realocar Carreira,Data Science,10,3,"Pandas,NumPy,R",8,100.0
DBA,5,Pleno,Realocar Carreira,Desenvolvimento Web,10,5,"Python,HTML,CSS,React,JavaScript",5,99.69
Designer,0,Júnior,Realocar Carreira,Data Science,15,2,"Pandas,Machine Learning",6,83.68
Desenvolvedor,9,Sênior,Realocar Carreira,Mobile,5,5,"Kotlin,Flutter,iOS,React Native,Swift",8,100.0
Analista de Sistemas,17,Sênior,Atualizar Carreira,Desenvolvimento Web,20,5,"HTML,Java,JavaScript,Node.js,CSS",9,100.0
Desenvolvedor,10,Sênior,Atualizar Carreira,Mobile,15,5,"Flutter,Kotlin,iOS,React Native,Android",6,100.0
Analista de Sistemas,10,Sênior,Atualizar Carreira,Data Science,25,4,"Machine Learning,Python,Pandas,Estatística",9,100.0
Gerente de Projetos,17,Sênior,Realocar Carreira,Desenvolvimento Web,25,4,"Python,CSS,Node.js,HTML",8,100.0
Analista de Dados,10,Sênior,Realocar Carreira,Data Science,20,4,"SQL,Python,R,NumPy",9,100.0
Designer,2,Júnior,Atualizar Carreira,Desenvolvimento Web,5,4,"Python,React,CSS,Node.js",10,100.0
QA Tester,13,Sênior,Atualizar Carreira,DevOps,15,4,"Terraform,Kubernetes,CI/CD,Linux",8,100.0
Gerente de Projetos,13,Sênior,Realocar Carreira,Segurança da Informação,10,5,"Pentest,Criptografia,OWASP,Firewall,SIEM",7,100.0
Analista de Sistemas,0,Júnior,Atualizar Carreira,Desenvolvimento Web,30,5,"HTML,Java,Python,JavaScript,CSS",7,100.0
Gerente de Projetos,7,Sênior,Realocar Carreira,Inteligência Artificial,10,5,"PyTorch,TensorFlow,NLP,Python,Computer Vision",10,100.0
Analista de Dados,7,Sênior,Realocar Carreira,Data Science,10,3,"Estatística,Python,R",6,100.0
Designer,5,Pleno,Realocar Carreira,Cloud Computing,15,3,"AWS,Azure,Containers",7,93.95
Analista de Dados,6,Pleno,Atualizar Carreira,Inteligência Artificial,10,4,"NLP,Computer Vision,PyTorch,Python",5,100.0
Administrador de Redes,19,Sênior,Realocar Carreira,Cloud Computing,10,4,"Containers,AWS,Serverless,GCP",8,100.0
Desenvolvedor,20,Sênior,Atualizar Carreira,DevOps,25,4,"Terraform,Linux,Git,CI/CD",10,100.0
Analista de Sistemas,11,Sênior,Atualizar Carreira,Data Science,15,3,"Pandas,SQL,Python",10,100.0
DBA,11,Sênior,Atualizar Carreira,DevOps,5,5,"Linux,CI/CD,Kubernetes,Git,AWS",5,100.0
Analista de Sistemas,2,Júnior,Atualizar Carreira,Desenvolvimento Web,30,3,"Java,Node.js,Python",6,100.0
Gerente de Projetos,13,Sênior,Atualizar Carreira,Data Science,15,2,"Python,Machine Learning",8,100.0
Desenvolvedor,8,Sênior,Atualizar Carreira,Desenvolvimento Web,15,3,"React,HTML,JavaScript",9,100.0
Suporte Técnico,0,Júnior,Realocar Carreira,Segurança da Informação,15,2,"OWASP,Firewall",8,92.44
Gerente de Projetos,10,Sênior,Realocar Carreira,UX/UI Design,10,4,"Prototipagem,Sketch,Adobe XD,Design Thinking",9,100.0
DBA,11,Sênior,Realocar Carreira,Mobile,20,4,"React Native,Flutter,Swift,Android",9,100.0
Analista de Dados,6,Pleno,Realocar Carreira,Cloud Computing,20,3,"Containers,GCP,AWS",6,100.0
Analista de Dados,12,Sênior,Realocar Carreira,Desenvolvimento Web,15,2,"React,HTML",5,100.0
Analista de Dados,8,Sênior,Atualizar Carreira,Inteligência Artificial,10,2,"TensorFlow,NLP",6,100.0
Gerente de Projetos,10,Sênior,Atualizar Carreira,Data Science,5,4,"Machine Learning,Estatística,Python,R",9,100.0
Desenvolvedor,7,Sênior,Atualizar Carreira,Desenvolvimento Web,20,3,"HTML,CSS,Node.js",6,100.0
Analista de Sistemas,16,Sênior,Atualizar Carreira,Desenvolvimento Web,20,5,"JavaScript,CSS,React,HTML,Node.js",6,100.0
Administrador de Redes,16,Sênior,Realocar Carreira,Inteligência Artificial,15,2,"Python,NLP",8,100.0
Suporte Técnico,10,Sênior,Realocar Carreira,Segurança da Informação,15,2,"Criptografia,Firewall",10,100.0
DBA,10,Sênior,Realocar Carreira,UX/UI Design,20,4,"Adobe XD,Prototipagem,Sketch,Figma",6,100.0
Gerente de Projetos,15,Sênior,Realocar Carreira,Inteligência Artificial,10,5,"NLP,Python,Computer Vision,TensorFlow,PyTorch",6,100.0
Analista de Sistemas,11,Sênior,Realocar Carreira,Data Science,15,3,"R,Machine Learning,SQL",10,100.0
Analista de Sistemas,19,Sênior,Atualizar Carreira,Data Science,25,3,"Estatística,Pandas,NumPy",10,100.0
Gerente de Projetos,5,Pleno,Atualizar Carreira,Cloud Computing,20,5,"Serverless,GCP,Azure,AWS,Containers",9,100.0
QA Tester,7,Sênior,Atualizar Carreira,DevOps,20,4,"AWS,Docker,CI/CD,Linux",5,100.0
Analista de Dados,6,Pleno,Realocar Carreira,Mobile,15,5,"Swift,Android,Kotlin,iOS,Flutter",5,100.0
DBA,6,Pleno,Realocar Carreira,Mobile,20,5,"Flutter,Swift,Android,React Native,iOS",7,100.0
Desenvolvedor,15,Sênior,Atualizar Carreira,DevOps,5,2,"Git,Docker",7,100.0
Analista de Dados,1,Júnior,Atualizar Carreira,Data Science,20,5,"SQL,R,Machine Learning,Python,Pandas",8,100.0
Designer,12,Sênior,Realocar Carreira,Segurança da Informação,10,3,"Firewall,Pentest,Criptografia",7,100.0
Analista de Dados,5,Pleno,Atualizar Carreira,Inteligência Artificial,30,2,"PyTorch,NLP",5,100.0
Gerente de Projetos,18,Sênior,Realocar Carreira,Mobile,20,2,"Swift,Flutter",7,100.0
Administrador de Redes,17,Sênior,Atualizar Carreira,Segurança da Informação,15,3,"Criptografia,OWASP,Pentest",9,100.0
Analista de Dados,1,Júnior,Atualizar Carreira,Inteligência Artificial,20,2,"NLP,TensorFlow",8,100.0
DBA,0,Júnior,Atualizar Carreira,Data Science,30,3,"R,Python,SQL",7,100.0
Desenvolvedor,13,Sênior,Realocar Carreira,Desenvolvimento Web,10,2,"CSS,Python",5,95.94
Desenvolvedor,2,Júnior,Realocar Carreira,UX/UI Design,15,5,"Prototipagem,Adobe XD,Design Thinking,Figma,Sketch",6,100.0
DBA,3,Pleno,Atualizar Carreira,DevOps,25,3,"CI/CD,Linux,Git",6,100.0
DBA,8,Sênior,Realocar Carreira,Cloud Computing,15,4,"GCP,AWS,Serverless,Azure",6,100.0
Analista de Sistemas,11,Sênior,Atualizar Carreira,Cloud Computing,20,4,"GCP,Serverless,Azure,Containers",6,100.0
Analista de Dados,8,Sênior,Realocar Carreira,Data Science,15,3,"Machine Learning,Python,R",7,100.0
Gerente de Projetos,9,Sênior,Atualizar Carreira,Cloud Computing,15,4,"GCP,Serverless,AWS,Containers",6,100.0
Suporte Técnico,7,Sênior,Realocar Carreira,Data Science,10,3,"Machine Learning,Pandas,NumPy",5,99.69
DBA,20,Sênior,Realocar Carreira,Mobile,20,3,"Android,Swift,Flutter",9,100.0
DBA,10,Sênior,Atualizar Carreira,DevOps,25,5,"Docker,CI/CD,Linux,Git,Kubernetes",5,100.0
Designer,10,Sênior,Realocar Carreira,Segurança da Informação,15,5,"Pentest,OWASP,Firewall,Criptografia,SIEM",6,100.0
QA Tester,9,Sênior,Realocar Carreira,UX/UI Design,20,3,"Design Thinking,Prototipagem,Sketch",8,100.0
Desenvolvedor,13,Sênior,Atualizar Carreira,Desenvolvimento Web,10,5,"Python,JavaScript,CSS,Java,HTML",8,100.0
Analista de Dados,9,Sênior,Realocar Carreira,DevOps,20,4,"Kubernetes,Linux,Terraform,CI/CD",7,100.0
Desenvolvedor,7,Sênior,Atualizar Carreira,DevOps,15,3,"Git,AWS,Terraform",9,100.0
Analista de Sistemas,12,Sênior,Atualizar Carreira,Data Science,10,3,"R,Estatística,Pandas",9,100.0
QA Tester,8,Sênior,Realocar Carreira,Desenvolvimento Web,10,5,"Python,CSS,Node.js,JavaScript,Java",6,100.0
Desenvolvedor,8,Sênior,Realocar Carreira,Mobile,10,4,"Swift,Kotlin,Android,iOS",10,100.0
Suporte Técnico,7,Sênior,Realocar Carreira,Mobile,20,5,"React Native,Flutter,Swift,Android,Kotlin",10,100.0
Designer,9,Sênior,Realocar Carreira,Data Science,15,4,"Machine Learning,NumPy,SQL,Pandas",8,100.0
Analista de Sistemas,8,Sênior,Atualizar Carreira,Desenvolvimento Web,15,2,"Java,JavaScript",9,100.0
Desenvolvedor,15,Sênior,Realocar Carreira,Cloud Computing,15,4,"GCP,Serverless,Azure,Containers",10,100.0
Desenvolvedor,2,Júnior,Atualizar Carreira,Mobile,20,2,"Kotlin,iOS",5,100.0
Suporte Técnico,10,Sênior,Atualizar Carreira,Cloud Computing,10,5,"GCP,AWS,Containers,Azure,Serverless",7,100.0
Analista de Sistemas,9,Sênior,Atualizar Carreira,Data Science,20,3,"Python,SQL,Estatística",8,100.0
Designer,0,Júnior,Realocar Carreira,Data Science,5,2,"NumPy,Python",10,84.49
Suporte Técnico,19,Sênior,Atualizar Carreira,DevOps,20,3,"Linux,AWS,CI/CD",6,100.0
Gerente de Projetos,3,Pleno,Realocar Carreira,Data Science,15,4,"Machine Learning,R,NumPy,Pandas",9,100.0
Analista de Dados,7,Sênior,Realocar Carreira,Segurança da Informação,25,4,"Criptografia,Firewall,Pentest,SIEM",9,100.0
Analista de Sistemas,1,Júnior,Realocar Carreira,Mobile,10,2,"React Native,Swift",7,81.38
Designer,7,Sênior,Atualizar Carreira,UX/UI Design,5,5,"Prototipagem,Figma,Design Thinking,Adobe XD,Sketch",7,100.0
